,sub_center_id,Months_id,Months,Scores,Clusters
3956,11732.0,51,01-May-2021,2.170341877171062,1
3957,11734.0,51,01-May-2021,1.8435632325731788,1
3958,11754.0,51,01-May-2021,1.6343053822577656,0
3959,11781.0,51,01-May-2021,1.9272646317335396,0
3960,15986.0,51,01-May-2021,1.4848576393835362,0
3961,15996.0,51,01-May-2021,1.6127972904195733,0
3962,16001.0,51,01-May-2021,1.8426749295292197,0
3963,16056.0,51,01-May-2021,2.0370323932381833,0
3964,16160.0,51,01-May-2021,1.8885714363330668,2
3965,16171.0,51,01-May-2021,1.9180784301862064,0
3966,16176.0,51,01-May-2021,1.9325609219150517,0
3967,16178.0,51,01-May-2021,2.0414939659192592,1
3968,16184.0,51,01-May-2021,2.116600870494997,1
3969,16190.0,51,01-May-2021,1.9272646317335396,0
3970,16194.0,51,01-May-2021,1.6642016612552923,0
3971,16196.0,51,01-May-2021,2.007623511840836,2
3972,16198.0,51,01-May-2021,1.8658183384515028,0
3973,16199.0,51,01-May-2021,1.6563818907281969,0
3974,16201.0,51,01-May-2021,1.495617472266284,0
3975,16210.0,51,01-May-2021,1.8835631124999745,0
3976,16216.0,51,01-May-2021,2.031768540790234,0
3977,16218.0,51,01-May-2021,1.8433390021065907,0
3978,16222.0,51,01-May-2021,1.6534212415641147,0
3979,16230.0,51,01-May-2021,1.961277318073532,0
3980,16234.0,51,01-May-2021,1.6977435441953885,0
3981,16239.0,51,01-May-2021,1.6343053822577656,0
3982,16240.0,51,01-May-2021,2.0867578081405664,1
3983,16245.0,51,01-May-2021,1.7276857304742737,0
3984,16250.0,51,01-May-2021,1.9288088137566006,0
3985,16251.0,51,01-May-2021,1.6490028985822573,0
3986,16259.0,51,01-May-2021,2.0305202042544788,0
3987,16263.0,51,01-May-2021,2.1698869640689957,1
3988,16343.0,51,01-May-2021,1.669001868734114,0
3989,16357.0,51,01-May-2021,1.907298844638532,2
3990,16382.0,51,01-May-2021,1.6931799770606935,0
3991,16385.0,51,01-May-2021,1.655318718356402,0
3992,16397.0,51,01-May-2021,1.6738172410574736,0
3993,16407.0,51,01-May-2021,1.9449052516181917,0
3994,16408.0,51,01-May-2021,1.9272646317335396,0
3995,16410.0,51,01-May-2021,2.1698869640689957,1
3996,16414.0,51,01-May-2021,1.6343053822577656,0
3997,16433.0,51,01-May-2021,2.1452360108428774,1
3998,16439.0,51,01-May-2021,1.8667548424484806,1
3999,16477.0,51,01-May-2021,1.7592799238219705,0
4000,16479.0,51,01-May-2021,1.6536545551588806,0
4001,16532.0,51,01-May-2021,1.9251131467376705,0
4002,16536.0,51,01-May-2021,1.6487920571244692,0
4003,16537.0,51,01-May-2021,1.9272646317335396,0
4004,16538.0,51,01-May-2021,1.9272646317335396,0
4005,16549.0,51,01-May-2021,1.8600274961166732,1
4006,16550.0,51,01-May-2021,1.588829105589436,0
4007,16556.0,51,01-May-2021,2.0867578081405664,1
4008,16564.0,51,01-May-2021,2.109379976563295,1
4009,16566.0,51,01-May-2021,1.8328444457670507,1
4010,16567.0,51,01-May-2021,1.3478483340607004,0
4011,16569.0,51,01-May-2021,1.7020402099373622,0
4012,16571.0,51,01-May-2021,1.892020570518905,0
4013,16575.0,51,01-May-2021,2.162856737388797,1
4014,16577.0,51,01-May-2021,2.0267199541418206,0
4015,16578.0,51,01-May-2021,1.9272646317335396,0
4016,16579.0,51,01-May-2021,1.9712937258130687,0
4017,16582.0,51,01-May-2021,1.9272646317335396,0
4018,16584.0,51,01-May-2021,1.8024038359304941,2
4019,16594.0,51,01-May-2021,1.9400071250978492,1
4020,16595.0,51,01-May-2021,1.9712937258130687,0
4021,16604.0,51,01-May-2021,1.9272646317335396,0
4022,16609.0,51,01-May-2021,1.738029286150356,0
4023,16614.0,51,01-May-2021,1.6343053822577656,0
4024,16616.0,51,01-May-2021,2.1824805815837753,1
4025,16639.0,51,01-May-2021,1.9986458419618274,0
4026,16643.0,51,01-May-2021,1.9272646317335396,0
4027,16645.0,51,01-May-2021,1.9155654946154141,2
4028,16652.0,51,01-May-2021,2.1995769444438986,2
4029,16654.0,51,01-May-2021,1.9272646317335396,0
4030,16658.0,51,01-May-2021,2.1867582386934035,2
4031,16663.0,51,01-May-2021,1.67866709228783,0
4032,16668.0,51,01-May-2021,1.6923123828803617,0
4033,16680.0,51,01-May-2021,2.0432879660983914,0
4034,16682.0,51,01-May-2021,1.7640181738022576,0
4035,16685.0,51,01-May-2021,1.4372612811150247,0
4036,16687.0,51,01-May-2021,1.9102383463895956,1
4037,16689.0,51,01-May-2021,1.6809382751535624,0
4038,16695.0,51,01-May-2021,1.6074539266095327,0
4039,16698.0,51,01-May-2021,1.9613932490555717,2
4040,16699.0,51,01-May-2021,2.3130258840326507,1
4041,19072.0,51,01-May-2021,1.745619543924369,0
4042,4722.0,52,01-Jun-2021,1.6264630394132333,0
4043,4731.0,52,01-Jun-2021,1.428364172610587,0
4044,4749.0,52,01-Jun-2021,1.6772234691004986,0
4045,4808.0,52,01-Jun-2021,2.0867578081405664,1
4046,4810.0,52,01-Jun-2021,1.9927905409590245,1
4047,4815.0,52,01-Jun-2021,1.5663788714720164,0
4048,4832.0,52,01-Jun-2021,1.8651027920304353,1
4049,4899.0,52,01-Jun-2021,1.649445294860466,0
4050,4904.0,52,01-Jun-2021,1.6512531227112255,0
4051,4906.0,52,01-Jun-2021,1.8960873787546495,0
4052,4922.0,52,01-Jun-2021,1.7100917957383686,0
4053,6397.0,52,01-Jun-2021,2.0498982447896865,2
4054,6419.0,52,01-Jun-2021,1.386249902299277,0
4055,6433.0,52,01-Jun-2021,2.0867578081405664,1
4056,6440.0,52,01-Jun-2021,1.9612955276802058,2
4057,6469.0,52,01-Jun-2021,1.7533146801778872,0
4058,6472.0,52,01-Jun-2021,1.9272646317335396,0
4059,6514.0,52,01-Jun-2021,1.8348967448791709,1
4060,11544.0,52,01-Jun-2021,1.7185123905616553,2
4061,11555.0,52,01-Jun-2021,1.721888866215663,0
4062,11556.0,52,01-Jun-2021,1.5705560105998997,0
4063,11564.0,52,01-Jun-2021,1.9274710053191246,1
4064,11594.0,52,01-Jun-2021,1.7912017282946096,2
4065,11620.0,52,01-Jun-2021,1.9982806251160925,1
4066,11630.0,52,01-Jun-2021,1.4678979197385542,2
4067,11631.0,52,01-Jun-2021,1.9089540137343732,1
4068,11732.0,52,01-Jun-2021,1.9582570503140873,2
4069,11734.0,52,01-Jun-2021,1.9029495479730352,2
4070,11754.0,52,01-Jun-2021,1.9272646317335396,0
4071,11781.0,52,01-Jun-2021,1.7635364552028088,2
4072,15986.0,52,01-Jun-2021,1.8331351692714093,2
4073,15996.0,52,01-Jun-2021,1.4751938557363395,0
4074,16001.0,52,01-Jun-2021,1.6645622899532193,0
4075,16013.0,52,01-Jun-2021,2.1698869640689957,1
4076,16056.0,52,01-Jun-2021,2.0548107866481957,2
4077,16160.0,52,01-Jun-2021,2.204235086931381,2
4078,16171.0,52,01-Jun-2021,1.6927246936691693,0
4079,16176.0,52,01-Jun-2021,1.8187665623493445,0
4080,16178.0,52,01-Jun-2021,2.047420605551065,0
4081,16184.0,52,01-Jun-2021,1.9288088137566006,0
4082,16190.0,52,01-Jun-2021,2.009015690950047,2
4083,16194.0,52,01-Jun-2021,2.0492372073318132,0
4084,16196.0,52,01-Jun-2021,1.9582391686243459,0
4085,16198.0,52,01-Jun-2021,1.9226793527172672,0
4086,16199.0,52,01-Jun-2021,1.68191462211634,0
4087,16201.0,52,01-Jun-2021,1.525672769039051,0
4088,16210.0,52,01-Jun-2021,2.0742022817435912,1
4089,16216.0,52,01-Jun-2021,2.0305202042544788,0
4090,16218.0,52,01-Jun-2021,1.8768224055266762,1
4091,16222.0,52,01-Jun-2021,1.6835984693996513,0
4092,16230.0,52,01-Jun-2021,1.7515669994671903,0
4093,16234.0,52,01-Jun-2021,1.6670669903611393,0
4094,16239.0,52,01-Jun-2021,1.6738733230337972,0
4095,16240.0,52,01-Jun-2021,1.9678910306557884,1
4096,16245.0,52,01-Jun-2021,1.882057110601591,2
4097,16250.0,52,01-Jun-2021,1.9272646317335396,0
4098,16251.0,52,01-Jun-2021,1.7411478131723097,0
4099,16259.0,52,01-Jun-2021,2.1960734611453483,2
4100,16263.0,52,01-Jun-2021,2.1314543100720225,1
4101,16343.0,52,01-Jun-2021,1.9227019600235578,0
4102,16357.0,52,01-Jun-2021,1.8018441870951394,0
4103,16382.0,52,01-Jun-2021,1.5284613138074445,0
4104,16385.0,52,01-Jun-2021,1.6441144844873015,0
4105,16397.0,52,01-Jun-2021,1.9272646317335396,0
4106,16401.0,52,01-Jun-2021,1.9496663148472455,0
4107,16407.0,52,01-Jun-2021,2.214581185727376,0
4108,16408.0,52,01-Jun-2021,2.3502321165064166,2
4109,16410.0,52,01-Jun-2021,2.0715382453666837,2
4110,16414.0,52,01-Jun-2021,2.191260427675957,2
4111,16433.0,52,01-Jun-2021,1.5093356936553532,0
4112,16439.0,52,01-Jun-2021,1.8531781987915836,0
4113,16477.0,52,01-Jun-2021,1.8376154142583718,1
4114,16479.0,52,01-Jun-2021,1.6605668083602767,0
4115,16532.0,52,01-Jun-2021,1.8929046807920187,0
4116,16536.0,52,01-Jun-2021,1.6696275690806512,0
4117,16537.0,52,01-Jun-2021,1.9090094991447972,1
4118,16538.0,52,01-Jun-2021,1.9272646317335396,0
4119,16549.0,52,01-Jun-2021,1.669943184900902,0
4120,16550.0,52,01-Jun-2021,1.7831871875414669,0
4121,16556.0,52,01-Jun-2021,1.9278647926589008,0
4122,16564.0,52,01-Jun-2021,1.9446801538085625,0
4123,16566.0,52,01-Jun-2021,1.996696564828279,0
4124,16567.0,52,01-Jun-2021,1.7318552392333537,0
4125,16569.0,52,01-Jun-2021,1.8692077208624422,0
4126,16571.0,52,01-Jun-2021,1.7070302750212514,0
4127,16575.0,52,01-Jun-2021,1.9712937258130687,0
4128,16577.0,52,01-Jun-2021,1.7758470384726803,0
4129,16578.0,52,01-Jun-2021,1.9272646317335396,0
4130,16579.0,52,01-Jun-2021,1.8349614566792916,1
4131,16582.0,52,01-Jun-2021,1.9272646317335396,0
4132,16584.0,52,01-Jun-2021,1.8942733479153713,2
4133,16588.0,52,01-Jun-2021,1.861667564667891,0
4134,16594.0,52,01-Jun-2021,1.7713755262343,1
4135,16595.0,52,01-Jun-2021,1.9349144958223459,0
4136,16604.0,52,01-Jun-2021,1.6085777580420662,0
4137,16605.0,52,01-Jun-2021,1.446737477127015,0
4138,16609.0,52,01-Jun-2021,1.749304923907447,0
4139,16614.0,52,01-Jun-2021,2.1564314908518947,0
4140,16616.0,52,01-Jun-2021,1.8621810970831392,2
4141,16639.0,52,01-Jun-2021,2.3468741593488245,2
4142,16643.0,52,01-Jun-2021,1.8150423120382086,0
4143,16645.0,52,01-Jun-2021,1.7330809978663333,0
4144,16652.0,52,01-Jun-2021,2.077774604835519,0
4145,16654.0,52,01-Jun-2021,2.027893997380155,2
4146,16658.0,52,01-Jun-2021,1.7398133748131137,0
4147,16663.0,52,01-Jun-2021,1.6605206925939622,0
4148,16668.0,52,01-Jun-2021,1.9272646317335396,0
4149,16680.0,52,01-Jun-2021,2.165368844101198,2
4150,16682.0,52,01-Jun-2021,1.7003463808911476,0
4151,16685.0,52,01-Jun-2021,1.360175109471321,0
4152,16687.0,52,01-Jun-2021,1.9754939542145011,1
4153,16689.0,52,01-Jun-2021,1.827638063764616,2
4154,16695.0,52,01-Jun-2021,1.6487920571244692,0
4155,16698.0,52,01-Jun-2021,2.3967101202247347,2
4156,16699.0,52,01-Jun-2021,2.0767372144579377,2
4157,19070.0,52,01-Jun-2021,2.0140586452962523,0
4158,19072.0,52,01-Jun-2021,2.0254134171431613,0
4159,4722.0,53,01-Jul-2021,1.6420036256121948,0
4160,4731.0,53,01-Jul-2021,1.3411901875948384,0
4161,4749.0,53,01-Jul-2021,1.7820019893943255,0
4162,4808.0,53,01-Jul-2021,1.7972570865677762,0
4163,4810.0,53,01-Jul-2021,1.9272646317335396,0
4164,4815.0,53,01-Jul-2021,1.6025569382285814,0
4165,4832.0,53,01-Jul-2021,1.5123759649507091,0
4166,4899.0,53,01-Jul-2021,1.655031967209111,0
4167,4904.0,53,01-Jul-2021,1.6034928021901353,1
4168,4906.0,53,01-Jul-2021,1.740846803296095,0
4169,4922.0,53,01-Jul-2021,1.7463804304219173,0
4170,6397.0,53,01-Jul-2021,1.9296948987442133,0
4171,6419.0,53,01-Jul-2021,1.2014222085502002,0
4172,6433.0,53,01-Jul-2021,1.9915541838794475,2
4173,6440.0,53,01-Jul-2021,1.9496153587484337,2
4174,6469.0,53,01-Jul-2021,1.705632534583554,0
4175,6472.0,53,01-Jul-2021,1.907782857059088,2
4176,6514.0,53,01-Jul-2021,2.1471669416246755,1
4177,11544.0,53,01-Jul-2021,1.7694278321217607,2
4178,11555.0,53,01-Jul-2021,1.7629735515065132,2
4179,11556.0,53,01-Jul-2021,2.036974886476656,2
4180,11564.0,53,01-Jul-2021,2.0888130836699164,1
4181,11594.0,53,01-Jul-2021,1.7888110481873838,2
4182,11620.0,53,01-Jul-2021,1.9485586032216278,2
4183,11630.0,53,01-Jul-2021,1.9459884306998247,2
4184,11631.0,53,01-Jul-2021,2.09208101451941,2
4185,11732.0,53,01-Jul-2021,2.143546776381431,2
4186,11734.0,53,01-Jul-2021,1.992415622652905,2
4187,11754.0,53,01-Jul-2021,1.9630563680325566,2
4188,11781.0,53,01-Jul-2021,1.597859175062916,0
4189,15986.0,53,01-Jul-2021,1.6168709281922955,0
4190,15996.0,53,01-Jul-2021,1.7631032626309067,0
4191,16001.0,53,01-Jul-2021,1.7847537728102427,0
4192,16056.0,53,01-Jul-2021,1.3839794262511051,0
4193,16160.0,53,01-Jul-2021,2.1684278303478917,2
4194,16171.0,53,01-Jul-2021,1.7624089693407987,0
4195,16176.0,53,01-Jul-2021,1.7209822304468794,0
4196,16178.0,53,01-Jul-2021,2.234300190991334,1
4197,16184.0,53,01-Jul-2021,1.855228650481082,1
4198,16190.0,53,01-Jul-2021,1.8855725386568891,0
4199,16194.0,53,01-Jul-2021,2.098801148114202,2
4200,16196.0,53,01-Jul-2021,2.2016927068074374,2
4201,16198.0,53,01-Jul-2021,1.830618386872332,0
4202,16199.0,53,01-Jul-2021,1.6570904265246218,0
4203,16201.0,53,01-Jul-2021,1.8866001112192787,1
4204,16210.0,53,01-Jul-2021,2.39727093250998,2
4205,16216.0,53,01-Jul-2021,2.0301040051599415,0
4206,16218.0,53,01-Jul-2021,1.8867929872908626,0
4207,16222.0,53,01-Jul-2021,1.6489722778975162,0
4208,16230.0,53,01-Jul-2021,1.6691839515375981,0
4209,16234.0,53,01-Jul-2021,1.670450285544226,0
4210,16239.0,53,01-Jul-2021,1.7526393962478477,0
4211,16240.0,53,01-Jul-2021,1.6440860246649576,2
4212,16245.0,53,01-Jul-2021,1.611676823001443,0
4213,16250.0,53,01-Jul-2021,1.9276693617407066,0
4214,16251.0,53,01-Jul-2021,1.3931594289749705,0
4215,16259.0,53,01-Jul-2021,1.7190916314663318,0
4216,16263.0,53,01-Jul-2021,1.8884225846730032,0
4217,16343.0,53,01-Jul-2021,1.8408515000747487,0
4218,16357.0,53,01-Jul-2021,1.9187639277026227,0
4219,16382.0,53,01-Jul-2021,1.6271059586544925,0
4220,16397.0,53,01-Jul-2021,1.9272646317335396,0
4221,16407.0,53,01-Jul-2021,1.7699841852085525,0
4222,16408.0,53,01-Jul-2021,2.07126877051799,0
4223,16410.0,53,01-Jul-2021,1.9775862687649177,0
4224,16414.0,53,01-Jul-2021,1.5597914149019736,0
4225,16433.0,53,01-Jul-2021,1.7263175589904936,0
4226,16439.0,53,01-Jul-2021,1.7832898626772962,0
4227,16477.0,53,01-Jul-2021,1.8507346376010496,1
4228,16479.0,53,01-Jul-2021,1.684956646999816,0
4229,16532.0,53,01-Jul-2021,1.7217028863231227,0
4230,16536.0,53,01-Jul-2021,1.8855765100320228,0
4231,16537.0,53,01-Jul-2021,1.7645335528910373,0
4232,16538.0,53,01-Jul-2021,1.5597914149019736,0
4233,16549.0,53,01-Jul-2021,1.469837440216926,0
4234,16550.0,53,01-Jul-2021,1.7404351592126832,0
4235,16556.0,53,01-Jul-2021,1.7595013796281949,0
4236,16564.0,53,01-Jul-2021,1.958807125934129,0
4237,16566.0,53,01-Jul-2021,1.7149977148742295,0
4238,16567.0,53,01-Jul-2021,2.119111933231421,0
4239,16569.0,53,01-Jul-2021,1.7002233870799086,0
4240,16571.0,53,01-Jul-2021,1.9272646317335396,0
4241,16575.0,53,01-Jul-2021,1.7678773289812695,0
4242,16577.0,53,01-Jul-2021,1.8397555784649764,0
4243,16578.0,53,01-Jul-2021,2.031768540790234,0
4244,16579.0,53,01-Jul-2021,1.7129906749055777,1
4245,16582.0,53,01-Jul-2021,2.062868836803134,0
4246,16584.0,53,01-Jul-2021,1.8524680396474025,0
